Parcela,Accipiter striatus,Amadonastur lacernulatus,Amaurospiza moesta,Amazona vinacea,Anthus hellmayri,Anumbius annumbi,Aramides saracura,Attila phoenicurus,Attila rufus,Automolus leucophthalmus,Basileuterus culicivorus,Batara cinerea,Brotogeris tirica,Bubulcus ibis,Buteo brachyurus,Cacicus chrysopterus,Campephilus robustus,Camptostoma obsoletum,Campylorhamphus falcularius,Caracara plancus,Cariama cristata,Carpornis cucullata,Castanozoster thoracicus,Certhiaxis cinnamomeus,Chaetura cinereiventris,Chaetura meridionalis,Chamaeza campanisona,Chamaeza ruficauda,Chionomesa fimbriata,Chiroxiphia caudata,Chlorostilbon lucidus,Chrysuronia versicolor,Cichlocolaptes leucophrus,Cinclodes pabsti,Clibanornis dendrocolaptoides,Cnemotriccus fuscatus,Colaptes campestris,Colaptes melanochloros,Columbina talpacoti,Conopophaga lineata,Cranioleuca obsoleta,Cryptopezus nattereri,Crypturellus obsoletus,Crypturellus tataupa,Cyanocorax caeruleus,Cyclarhis gujanensis,Dacnis cayana,Dendrocolaptes platyrostris,Dendroma rufa,Donacospiza albifrons,Drymophila malura,Drymophila rubricollis,Dryocopus lineatus,Dysithamnus mentalis,Elaenia chilensis,Elaenia flavogaster,Elaenia mesoleuca,Elaenia parvirostris,Eleoscytalopus indigoticus,Emberizoides ypiranganus,Embernagra platensis,Euphonia chlorotica,Euphonia violacea,Falco sparverius,Forpus xanthopterygius,Furnarius rufus,Geothlypis aequinoctialis,Geotrygon montana,Gnorimopsar chopi,Grallaria varia,Habia rubica,Heliobletus contaminatus,Heliodoxa rubricauda,Hemitriccus obsoletus,Herpsilochmus rufimarginatus,Heteroxolmis dominicanus,Hylophilus poicilotis,Hypoedaleus guttatus,Ilicura militaris,Knipolegus cyanirostris,Knipolegus lophotes,Lathrotriccus euleri,Legatus leucophaius,Lepidocolaptes falcinellus,Leptasthenura setaria,Leptasthenura striolata,Leptopogon amaurocephalus,Leptotila rufaxilla,Leptotila verreauxi,Leucochloris albicollis,Lochmias nematura,Lurocalis semitorquatus,Mackenziaena leachii,Megarynchus pitangua,Melanerpes flavifrons,Micrastur ruficollis,Microspingus cabanisi,Milvago chimachima,Milvago chimango,Mimus saturninus,Mionectes rufiventris,Myiarchus ferox,Myiarchus swainsoni,Myiodynastes maculatus,Myiopagis caniceps,Myiopagis viridicata,Myiophobus fasciatus,Myiothlypis leucoblephara,Myiozetetes similis,Myrmoderus squamosus,Nothura maculosa,Nyctibius griseus,Odontophorus capueira,Pachyramphus castaneus,Pachyramphus polychopterus,Parabuteo leucorrhous,Patagioenas picazuro,Patagioenas plumbea,Penelope obscura,Phaethornis eurynome,Philydor atricapillus,Phimosus infuscatus,Phyllomyias fasciatus,Phyllomyias virescens,Phylloscartes difficilis,Phylloscartes ventralis,Piaya cayana,Piculus aurulentus,Picumnus nebulosus,Picumnus temminckii,Pionopsitta pileata,Pionus maximiliani,Pipraeidea melanonota,Piranga flava,Pitangus sulphuratus,Platyrinchus mystaceus,Poecilotriccus plumbeiceps,Polioptila dumicola,Poospiza nigrorufa,Procnias nudicollis,Progne chalybea,Pseudoleistes guirahuro,Psittacara leucophthalmus,Pulsatrix koeniswaldiana,Pygochelidon cyanoleuca,Pyriglena leucoptera,Pyrrhura frontalis,Ramphastos dicolorus,Ramphastos vitellinus,Rhopias gularis,Rhynchotus rufescens,Riparia riparia,Rupornis magnirostris,Saltator fuliginosus,Saltator maxillosus,Saltator similis,Satrapa icterophrys,Schiffornis virescens,Sclerurus scansor,Scytalopus pachecoi,Scytalopus speluncae,Selenidera maculirostris,Serpophaga subcristata,Setophaga pitiayumi,Sicalis flaveola,Sicalis luteola,Sirystes sibilator,Sittasomus griseicapillus,Spinus magellanicus,Sporophila caerulescens,Sporophila frontalis,Sporophila melanogaster,Stephanophorus diadematus,Stephanoxis loddigesii,Stilpnia preciosa,Streptoprocne zonaris,Strix hylophila,Synallaxis cinerascens,Synallaxis ruficapilla,Synallaxis spixi,Syndactyla rufosuperciliata,Tachycineta leucorrhoa,Tachyphonus coronatus,Tangara desmaresti,Tangara seledon,Thalurania glaucopis,Thamnophilus caerulescens,Thamnophilus ruficapillus,Theristicus caudatus,Thlypopsis pyrrhocoma,Thraupis cyanoptera,Thraupis palmarum,Thraupis sayaca,Tinamus solitarius,Tityra cayana,Todirostrum cinereum,Tolmomyias sulphurescens,Troglodytes musculus,Trogon chrysochloros,Trogon surrucura,Turdus albicollis,Turdus amaurochalinus,Turdus flavipes,Turdus leucomelas,Turdus rufiventris,Turdus subalaris,Tyranniscus burmeisteri,Tyrannus melancholicus,Tyrannus savana,Tyto furcata,Vanellus chilensis,Veniliornis spilogaster,Vireo chivi,Volatinia jacarina,Xenops minutus,Xenops rutilans,Xiphocolaptes albicollis,Xiphorhynchus fuscus,Zonotrichia capensis
M03T01,,,,,,,,7,1,4,6,,,,,1,,1,,,,4,,,,,3,,,3,,3,,,,1,,,,,,,,1,,3,,,,,,,,2,,,1,,,,,,,,,,,,,,5,,,,,,1,,,,,3,,,,,,,,,,,,,,2,,,,,,,,4,,,,1,1,1,,,1,,1,,,,1,,2,,1,,,4,,,,1,,,,,,8,,,,,,,,,,,3,3,2,1,,,,,,,,5,1,,,1,,3,,,,6,,,,,,,1,,,,,,,,3,,,,2,,,,,,,1,,,2,,1,1,5,,2,1,1,,,,,,,2,2,,,,,4,
M03T02,,,,,,,,8,2,5,10,,3,,,1,,,,,,7,,,,,9,,,5,,,,,,,,,,,,,1,,1,5,,2,,,,,,2,,,,,,,,,,,,,,1,,,,1,,,,,1,,,,,4,,,,,,,,,,,,,,,,,,,1,,,,,,,6,,,,,1,,,,3,3,,,,,,,,4,,,,,,,,,,3,,,,,,,3,,,,6,1,,1,,,1,1,,,,5,1,,,1,,3,,,,6,,,,,,,,,,,,,,,2,,,2,2,,,,,,,3,,,,1,,,5,,3,1,1,,,,,,,2,2,,,,1,7,
M03T03,,,,,,,,6,2,1,3,,4,,,,,,,,,9,,,,,3,,,2,,,,,,,,,,1,,,,2,,1,1,2,,,,,,6,,,,,,,,,,,,,,,,2,4,,3,,,,3,,1,,,2,,,,,,,,,,1,,,,4,,,,,,,,2,,,,,,2,,,1,1,,,,,,,1,,1,1,,6,,,,,,,1,,,5,,,,,,,,,,,7,,,5,,,1,,,,,4,2,,,1,,5,,,,7,,,,,,,,,,,,,,,1,,,2,2,,,,,1,1,3,,,2,,2,,6,,1,,1,,,,,,,,2,,,,,3,
M03T04,,,,,,,,7,4,3,6,1,,,,,,1,,,,7,,,,,6,,,,,,1,,,,,1,,,,,,2,1,3,,,,,,,,4,,,1,,,,,,,,,,,,,1,,1,,,,,2,2,,,,2,,,,,,,,,,,,,,,,,,,,1,,1,,,,4,,,,,,,,,,2,,1,,,,,,5,,1,,,,,,,,7,2,,,,,,,,,3,8,,,,,,,,,1,,4,,,,,,3,,,,6,,,,,,1,,,,,,,2,,3,,,,,,,,1,,,2,1,,1,,,1,8,,2,1,,,,,,,,1,3,,,,,7,
M03T05,,1,,,,,,3,2,,7,,1,,,,,,,,,4,,,,,3,,,1,1,,,,,1,,,,2,,,2,,3,8,,,3,,1,,,,,,2,,1,,,1,,,,,,,,,4,,,,,,,,,,,2,,,,,,,,,,2,,,,,3,,,,,,2,1,,,,3,,,,1,,,1,,1,,,,,,,,,,,1,,1,,,,,3,1,,,,,,,,,,1,5,,1,,,,1,,,1,,5,2,,,1,,3,,,,2,,,,,,,,,,1,5,,,,3,,2,,6,,,,,,,,,,2,,,,7,,1,,1,,,1,,,,,3,,,,,2,
M03T06,,,1,,,,,5,,2,12,,,,,,,1,,,,6,,,,,8,,,1,,,,,,,,,,1,,3,2,1,,,,,1,,,,,5,,,2,,,,,,,,,,,,,4,7,,,,,,3,,,,,2,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,1,,1,,,,1,,,,,5,1,,,,,,,,,3,,,,,,,,,,1,5,,,5,,,,,,,,2,1,,,,,6,,,1,3,,,,,,,,,,,,,,,1,,,,1,,,,,,,3,,,2,,,,4,,1,,,,1,,,,,,5,,,1,,6,
M03T07,,,,,,,,4,2,,5,1,3,,1,1,,,,,,3,,,,,2,,,2,,,,,,,,,,,,1,1,1,1,3,,1,,,,,1,2,,,1,1,,,,,,,,,,,,4,3,,,,,,3,,,,,4,,,,,,1,,1,,,,,,,,,,,,,,,,1,,2,,,,,1,,,,1,2,,,,,,,,6,,1,,2,,,,,,2,,,,13,,,,,,,6,,,3,,,,,,,,2,1,,,,,2,,,,6,,,,,,,,,,,,,,,1,1,,,,,,,,,,3,,,1,,,3,2,,4,1,,1,,,,,,2,2,,,,,4,
M03T08,,,,,,,,,2,,6,,,,,,,,,,,,,,,,3,,,1,,,1,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,1,,,,,1,1,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,2,,,,,,,1,,,,,,,,2,,,,1,,1,
M03T09,,,,,,,2,7,2,1,8,,2,9,,,,,1,,,7,,,,,7,,1,6,,,,,,,,,,1,,,5,1,2,6,,1,,,,,,4,1,1,1,,,,,,,,,1,,,,4,,,,1,1,,5,1,1,,,3,,,,,,,,,,2,,,,1,,,,,,,,,,,,4,,,,,4,,1,,1,,,1,,,,,,3,,,,,,1,1,,,5,,,,7,,,,,,,2,2,,1,,,2,,,,,4,1,,,,,10,,,,3,,,,,,,,,,,1,,4,,1,,,,5,,9,,,,,3,,,4,1,1,1,2,,5,,1,,,2,,,6,1,5,,,,,4,2
M03T10,,,,,,,,6,1,,9,2,1,,,1,,,,,,9,,,,,13,,,6,1,,,,,,,,,2,,4,3,2,8,5,,,,,,,1,8,,,,,,,,,,,4,,,,,,3,,,,1,,3,,,,,5,,,,,,2,,,,,,,,1,,,,,,,,,,,,6,,,,,,,1,,,,,1,5,,2,,,1,,1,,4,,,,,,7,1,,,5,,,,,,,2,,,8,,,,,,2,,1,2,,,,,5,,,,6,,,,,,,,,,,4,,,,3,,,,5,,,,,,,3,,,3,,1,,1,1,,1,,,,,,,,,3,,,,,6,
p01,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,1,1,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p04,,,,1,,,,,,,2,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,1,,,2,,1,,,,,1,,,,3,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,2,,,,2,4,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,2,,,,,3,5,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,3,,,,1,,,,,,,,,,,1,,2,,,,,,1,,,1,,,,,,,1,,,,,,,,1,2,,,,,,,1,,,,,,1
p09,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,,1,,,,,,,,,2,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2,1,,,1,2,,,,,,,2,,,,,,,,,,,4,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,2,,,1,2,,,,,,,,,,,2,,,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,1
p11,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,3,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,3,,,,,,,,,,,,,,,,,1,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p12,,,,,,,,,,,3,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,1,,,,,,1,,,,,5,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,3,,,,2,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,2,,,1,,,,,,3,,,,,,,1,,1,,,,
p18,,,,1,,,,,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,2,,,,2,,,,,,,,,1,,,,,,,,,1,,,,,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,,,,,,,,,2,,,,,,,,1,,,,,,,,,1,,,,,,1,,,2,,,,,,1,,1,,,,,,2
p19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,2,,,,,,,1,1,,,,,,1
p24,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,2,,,,,,,,,1,,,,,,,,1,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,1,,,,,,
p26,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,1,,,,,,,,,,,4,,,,,,,,,,1,,,,,,,,,,,6
p30,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,1,,,,,2,,,,,,3,,,,,,,,,,,,,,,,,,,,,1,,,,,,,2,,,,,,,,,,,,2,1,,,,,2,,,,,2,,,,,,,1,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,1
M01R01,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,1,,,,6,3,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,1,14,1,,,1,1,3,,,,,,5,1,,,,,,,,,1,12,,,,,,,,,2,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,,,,1,,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,2,,,,,,5
M01R02,,,,,,,,,,,,,,,,1,,3,,,,,,,,,,3,,,1,,,,1,,,,,,3,,4,,,1,,,,,1,,1,,,,3,,,,,,,,,,,,,,,3,,1,,,1,1,,,,2,,,5,,,,,,4,,2,,,,3,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,3,,,4,,,,1,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2,,,,,,
M01R03,,,,,,,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,2,,,,,,,1,1,1,,,,,,,,1,8,,,,,,,,,,,,,,,,,,1,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,3,,,,,,10
M01R05,,,,,,,1,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,1,1,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,1,,,,,,,,,,,,,
M01T01,,,,,,,2,,,,1,,,,1,3,,1,,,,,,,,,,4,,,,1,,,,,,,,,2,,5,,1,6,,,,,,,,,,,11,2,,,,,,,,,,,,,,1,,,,,,,,,,1,,5,9,,,,,,,,,,,,5,3,,,,,,,,,1,9,,,,,,,,,2,,,,,,1,,,4,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,2,,,1,,,,1,,,,,1,1,,,,1,,,2,,,,,,2,,,,,,,,,,,,,,,,,,2,4,,,,,,2,5,,,,,,
